sentence_key_furigana	sentence_key_plain	Word	Sentence	Word Audio	Sentence Audio	Definition	Definition Audio	Image	Notes
<b>私[わたし]</b>はアンです。	<b>私</b>はアンです。	私[わたし]:0-	<b>私[わたし]</b>はアンです。	[sound:私_ワタシ━_0_NHK-2016.mp3]	[sound:JLPT_Tango_N5_0001.mp3]	<!-- def-type=\"bilingual\" -->Me; the standard polite way to say \"I\" in Japanese.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->自分のことを指すときの呼び方。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00001.mp3]<!-- def-end -->	\"<img alt=\"\"自己紹介のイラスト（男性） | かわいいフリー素材集 いらすとや\"\" src=\"\"jikosyoukai_man-0f017c07b9f1048ff29830827e8503a6984504f6.webp\"\">\"	I am Ann.<br><br>Can also be read わたくし (formal) and あたし (feminine).<br>There are rarer readings too.
<b>あなた</b>はトムさんですか。	<b>あなた</b>はトムさんですか。	あなた:2-	<b>あなた</b>はトムさんですか。	[sound:あなた_アナ＼タ_2_NHK-2016.mp3]	[sound:JLPT_Tango_N5_0005.mp3]	<!-- def-type=\"bilingual\" -->\"You\"; the standard, slightly formal way to address someone directly.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->目の前にいる、話しかけている相手のこと。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00002.mp3]<!-- def-end -->	\"<img alt=\"\"人差し指で押す人のイラスト（男性）\"\" src=\"\"pose_touch_hitosashiyubi_man.webp\"\">\"	Are you Tom-san?
あなたはトム<b>さん</b>ですか。	あなたはトム<b>さん</b>ですか。	さん:0-	あなたはトム<b>さん</b>ですか。	[sound:さん_サ＼ン_1_NHK-2016.mp3]	[sound:JLPT_Tango_N5_0005.mp3]	<!-- def-type=\"bilingual\" -->Attached to a person's name to show respect.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->人の名前のあとにつけて、丁寧に呼ぶための言葉。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00003.mp3]<!-- def-end -->	\"<img alt=\"\"立っている男性のイラスト（ポーズ） | かわいいフリー素材集 いらすとや\"\" src=\"\"stand1_front05_man.webp\"\">\"	Are you Tom-san?<br><br>\"Most commonplace neutral polite honorific. Somewhat similar to using \"\"M.\"\" in front of a name in English.\"<br><br>If the name has an accent, さん and all other honorifics are pronounced low: 高橋さん → たか＼はしさん while if a name is heiban, all honorifics are also flat: 平田さん would be ひらたさん￣.
<b>彼[かれ]</b>はトムさんです。	<b>彼</b>はトムさんです。	彼[かれ]:1-	<b>彼[かれ]</b>はトムさんです。	[sound:彼_カ＼レ_1_NHK-2016.mp3]	[sound:JLPT_Tango_N5_0006.mp3]	<!-- def-type=\"bilingual\" -->He; a word referring to a male person you're talking about.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->自分以外の男の人を指す言葉。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00004.mp3]<!-- def-end -->	\"<img src=\"\"couple_okoru_woman.webp\"\">\"	He is Tom-san.
私[わたし]はワインが<b>好[す]き</b>です。	私はワインが<b>好き</b>です。	好[す]き:2-	私[わたし]はワインが<b>好[す]き</b>です。	[sound:d7fc47445da76bf992a10e581da01ba9-0fba83bd67a3dc41ed108b722008eb47b879a343.mp3]	[sound:fe1250584407c2a9b5499098ec358022-292b7d8c38187415a03e45ff4f21ec25989bc12b.mp3]	<!-- def-type=\"bilingual\" -->The feeling of \"that's nice, I want more of that.\"<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->何かに「いいな」と心がひかれる気持ち。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00005.mp3]<!-- def-end -->	\"<img src=\"\"idol_koisuru_girl_woman.webp\"\">\"	I like wine.
あの<b>人[ひと]</b>はいい 人[ひと]です。	あの<b>人</b>はいい 人です。	人[ひと]:0-	あの<b>人[ひと]</b>はいい 人[ひと]です。	[sound:90806b952a90a8a3d4a670af736cd2c2-aff81c948016ff060fca09d5405316fa6bd38a55.mp3]	[sound:JLPT_Tango_N5_0589-02.mp3]	<!-- def-type=\"bilingual\" -->A person; someone.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->私たちのような、考えたり話したりする生き物。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00006.mp3]<!-- def-end -->	\"<img alt=\"\"部屋着を着た人のイラスト（女性） | かわいいフリー素材集 いらすとや\"\" src=\"\"fashion_sweat_jersey_woman.webp\"\">\"	That person is a good person.<br><br>ひと＼ when modified, otherwise ひと￣ when unmodified. Note that in this case, あの人 is あの＼ひと. This is an exception, その＼ひと is another.
あの 人[ひと]は<b>いい</b> 人[ひと]です。	あの 人は<b>いい</b> 人です。	いい:k1	あの 人[ひと]は<b>いい</b> 人[ひと]です。	[sound:いい_イ＼ー_1_NHK-2016.mp3]	[sound:JLPT_Tango_N5_0589-02.mp3]	<!-- def-type=\"bilingual\" -->Good, pleasing, or satisfying.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->すてきで、好ましいと思える様子。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00007.mp3]<!-- def-end -->	\"<img alt=\"\"親指を立てている人のイラスト（女性）\"\" src=\"\"good_woman.webp\"\">\"	That person is a good person.
私[わたし]はイギリス<b>人[じん]</b>です。	私はイギリス<b>人</b>です。	人[じん]:1-	私[わたし]はイギリス<b>人[じん]</b>です。	[sound:人_ジ＼ン_1_NHK-2016.mp3]	[sound:JLPT_Tango_N5_0072.mp3]	<!-- def-type=\"bilingual\" -->A suffix meaning \"person of\" a country or group.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->国の名前のあとにつけて、その国のひとを表すことば。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00008.mp3]<!-- def-end -->	\"<img alt=\"\"部屋着を着た人のイラスト（女性） | かわいいフリー素材集 いらすとや\"\" src=\"\"fashion_sweat_jersey_woman.webp\"\">\"	I am British.<br><br>A suffix added to a country name to say a person from that country.<br><br>As a suffix, drops before 人, so イギリス＼人. 日本人 is an exception: (にほんじ＼ん).
私[わたし]は<b>日本[にほん] 語[ご]</b>を 勉[べん] 強[きょう]しています。	私は<b>日本 語</b>を 勉 強しています。	日本[にほん] 語[ご]:0-	私[わたし]は<b>日本[にほん] 語[ご]</b>を 勉[べん] 強[きょう]しています。	[sound:日本語_ニホンコ゚━_0_NHK-2016.mp3]	[sound:6e20ba5b1e5139fec3b8438b7d14bc15-ad2d22a7e9f5b8cb06e78654c82d381d10c6f683.mp3]	<!-- def-type=\"bilingual\" -->The Japanese language.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->日本で使われている言葉。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00009.mp3]<!-- def-end -->	\"<img src=\"\"study_nihongo.webp\"\">\"	I'm studying Japanese.
私[わたし]は 日本[にほん] 語[ご]を<b>勉[べん] 強[きょう]</b>しています。	私は 日本 語を<b>勉 強</b>しています。	勉[べん] 強[きょう]:0-	私[わたし]は 日本[にほん] 語[ご]を<b>勉[べん] 強[きょう]</b>しています。	[sound:f19c9dd8b9e2fcd2ff2bc0a44c509ee5-958bdd052eadbd5cef17c81813d29a91fe185113.mp3]	[sound:6e20ba5b1e5139fec3b8438b7d14bc15-ad2d22a7e9f5b8cb06e78654c82d381d10c6f683.mp3]	<!-- def-type=\"bilingual\" -->Studying or learning; the act of working to gain knowledge or a skill.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->知らないことをわかるようにすること。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00010.mp3]<!-- def-end -->	\"<img src=\"\"study_night_girl.webp\"\">\"	I'm studying Japanese.
